Title,Author,Genre,KobissID,Availability
Empire of the Mughal - Ruler of the World,"Rutherford, Alex",nonfiction,16206,yes
Empire of the Mughal - The Serpent's Tooth,"Rutherford, Alex",nonfiction,19401,yes
Empire of the Mughal - Raiders from the North,"Rutherford, Alex",nonfiction,19348,yes
Mossad,"Baz-Zohar, Michael",nonfiction,65346,yes
Jim Corbett Omnibus,"Corbett, Jim",nonfiction,58185,yes
20000 Leagues Under the Sea,"Verne, Jules",fiction,12584,yes
Batatyachi Chal,Deshpande P L,fiction,62369,yes
Hafasavnuk,Deshpande P L,fiction,99845,yes
Urlasurla,Deshpande P L,fiction,34512,yes
Pointers in C,"Kanetkar, Yashwant",tech,73116,yes
"Cathedral and the Bazaar, The","Raymond, Eric",tech,88227,yes
Design with OpAmps,"Franco, Sergio",tech,96374,yes
Think Complexity,"Downey, Allen",tech,10374,yes
"Devil's Advocate, The","West, Morris",fiction,88238,yes
Ayn Rand Answers,"Rand, Ayn",philosophy,28950,yes
Philosophy: Who Needs It,"Rand, Ayn",philosophy,10875,yes
Data Analysis with Open Source Tools,"Janert, Phillip",tech,11189,yes
Broca's Brain,"Sagan, Carl",science,33141,yes
Men of Mathematics,"Bell, E T",science,73865,yes
Oxford book of Modern Science Writing,"Dawkins, Richard",science,40952,yes
"Justice, Judiciary and Democracy","Ranjan, Sudhanshu",nonfiction,99008,yes
"Arthashastra, The",Kautiyla,philosophy,91495,yes
We the People,Palkhivala,philosophy,74236,yes
We the Nation,Palkhivala,philosophy,50574,yes
"Courtroom Genius, The",Sorabjee,nonfiction,62787,yes
Dongri to Dubai,"Zaidi, Hussain",nonfiction,88306,yes
"History of England, Foundation","Ackroyd, Peter",nonfiction,50861,yes
City of Djinns,"Dalrymple, William",nonfiction,66849,yes
India's Legal System,Nariman,nonfiction,55950,yes
More Tears to Cry,"Sassoon, Jean",fiction,87707,yes
"Ropemaker, The","Dickinson, Peter",fiction,81752,yes
Angels & Demons,"Brown, Dan",fiction,61555,yes
"Prince, The",Machiavelli,fiction,68041,yes
Eyeless in Gaza,"Huxley, Aldous",fiction,68617,yes
Tales of Beedle the Bard,"Rowling, J K",fiction,54285,yes
Girl with the Dragon Tattoo,"Larsson, Steig",fiction,88836,yes
Girl who kicked the Hornet's Nest,"Larsson, Steig",fiction,33855,yes
Girl who played with Fire,"Larsson, Steig",fiction,48550,yes
Structure and Randomness,"Tao, Terence",science,32399,yes
Image Processing with MATLAB,"Eddins, Steve",tech,60455,yes
Animal Farm,"Orwell, George",fiction,52705,yes
"Idiot, The","Dostoevsky, Fyodor",fiction,10621,yes
"Christmas Carol, A","Dickens, Charles",fiction,28819,yes
